no,reg number,name of establishment,address,products
607,3500/02332,"Xinhao (Fujian) Aquatic products Co.,Ltd","Kenbian Village Ï¼shenhu Townï¼jinjiang Cityï¼fujian,china",Fishery Products
608,3700/02B96,"Rongcheng  Haibo Seafood Co.,Ltd.",Eshishan Road 599 Shidao Town Rongcheng City Shandong P.r.china,Fishery Products
609,2100/02993,"Donggang Xintai Food Co.,Ltd","6 Group Zhamu Village, Xincheng District, Donggang City",Fishery Products
610,4500/02053,"Beihai Tianwei Aquatic Food Co., Ltd","No.2 Jingwu Rd, Industrial Zone, Beihai, Guangxi, China",Fishery Products
611,3300/02175,"Zhoushan Haihui Seafood Co., Ltd","No.8 Haihui Rd, Zhanmao Industrial Zone, Putuo, Zhoushan, Zhejiang, China",Fishery Products
612,2100/02463,"Donggang Hongxing Food Co., Ltd","Huangjiatun Group, Taoyuan Village, Xincheng Adminstrative, Donggang, Liaoning, China",Fishery Products
613,3300/02189,"Zhejiang Anbin Food Co., Ltd.","No.56, Yiquan Road, Yaozhuang, Jiashan Country, Jiaxing, Zhejiang, China",Minced Fish Products (Instant)
614,3500/02350,"Fuqing City Hengtai Aquatic Food Co.,Ltd.","No.66 Fulu South Rd,longtian Town,fuqing City,fujian, China",Fishery Products
615,3500/02352,"Fujian Province Ningde City Haoshun Aquiculture Co., Ltd.","Hougang Frozen Factory, Qitou Village, Chengnan Town, Jiaocheng District, Ningde, Fujian Province, China",Fishery Products
616,2100/02826,"Donggang Jinhui Foodstuff Co., Ltd.","Bakeshu Village, Xincheng District, Donggang City",Fishery Products
617,3500/02351,"Ningde Haihe Biology Technology Co., Ltd.","No.8 Agricultural Products Processing Standard Factory, Dongqiao Economic Development Zone, Ningde, Fujian Province, China.",Fishery Products
618,3700/02D01,"Qingdao Yize Food Co., Ltd Jimo Branch","Jianggezhuang Village,tongji Street,jimo,qingdao",Frozen Squid ProductsãFrozen Fish ProductsãFrozen Shrimp Products
619,2100/02848,"Dalian Hengjia Food Co.,Ltd",Zhuang He Chengguan Industrial Zone Zhuanghe Dalian China,Fishery Products
620,2100/02368,"Donggang Luyuan Food Co., Ltd","Yushu Village Qianyang, Donggang",Fishery Products
621,3500/02438,"Fujian Minwell Food Industrial Co.,Ltd.","Tietang Industrial Park,fuding,ningde,fujian,china",Fishery Products
622,3500/17001,HUI AN NONG XIANG FOODSTUFFS CO.LTD,"Beside Chongwu Wharf,huian County,quanzhou City,fujian,china",NORMAL
623,3500/02331,"Fujian Haoda Industry And Trade Co., Ltd.","No. 8 Dongguan Industrial Taoyuan Community , Songgang Street , Xiapu County , Ningde City , Fujian Province , China.",FrozenãDried
