no,Nama Perusahaan,Alamat,Telepon,Komoditi
221,"ADHI CHANDRA DWI UTAMA, PT","Jl. Kiara Condong No 42, Bandung, Jawa Barat",22 - 7275416,Hangtag
222,ADHI CHANDRA JAYA,"Jl. Tekno I Bl. B1 J Kws Industri Jababeka, Bekasi, Jawa Barat",,Komponen Kendaraan
223,ADHI FASHION,"Jl. N Raya Pemogan Griya Parerepan No. 44, Bali, Bali",0361 -,Pakaian Jadi
224,"ADHI HUTAMA KARYA, CV (SENTRALWANA A)","Jl. Raya Magelang - Semarang  Km. 12,8, Temanggung, Jawa Tengah",0293 - 714236,Barecore
225,ADHI JEMBATAN BATU,"Desa Gamping, Tulungagung, Jawa Timur",0355 - 533295,Wastafel
226,"ADHI KARYA TBK, PT","Dusun Pasar 5, Deli Serdang, Sumatera Utara",,Aspal Hotmix
227,"ADHI KARYA, PT","Dusun Telaga Asih, Bekasi, Jawa Barat",,Beton Cair
228,"ADHI KARYA, PT (PERSERO TBK)","Jl. Semarang Kendal Km. 9,8, Semarang, Jawa Tengah",,Hot Mix
229,ADHI MIX PRECAST INDONESIA PT,"Jl. Raya Pasar Minggu No. 17 A Gd Dharma Anugerah Lt 3, Jakarta Selatan, DKI Jakarta",,Mortar Atau Beton Siap Pakai
230,"ADHI MIX PRECAST INDONESIA, PT","Jl. Sukarno Hatta No. 758 Km. 14, Bandung, Jawa Barat",,Beton Siap Pakai
231,ADHI PETROGAS SARANA PT,"Jl. Lanbau Desa Leuwinutug, Bogor, Jawa Barat",,Reparasi Tabung Gas 3 Kg
232,ADHI PUTRA KENCANA PT,"Jl. Soekarn O Hatta Km. 07, Bandar Lampung, Lampung",,Beton
233,"ADHI WIJAYA CITRA, PT","Jl. Raya Narogong Km. 13 Pkl I B, Bekasi, Jawa Barat",021 - 825075,Spare Part Motor
234,"ADHIGUNA MULTI PLANEXTRAK, PT","Desa Sumbersuko, Pasuruan, Jawa Timur",0343 - 631846,Saos Rokok
235,"ADHIKARISMA PRATAMA, PT","Jl. Kemuning Raya No. 113 B, Bekasi, Jawa Barat",,Box Mobil
236,"ADHIKHARISMA PRATAMA, PT","Jl. Raya Kemuning N0 113 B, Jawa Barat, Jawa Barat",021 -,Karoseri Box Aluminium
237,ADHIMIX,"Lenteng Agung, Jakarta Selatan, DKI Jakarta",,Readymix Concner
238,"ADHIMIX BRICAST, PT","Kp. Cibitung, Bekasi, Jawa Barat",,Beton Cetak
-,-,-,-,-
240,"ADHIMIX PRECAST INDONESIA, PT","Jl. Rawa Kepiting No.9, Jakarta Timur, DKI Jakarta",,Beton Cair
241,"ADHIMIX PRECAST INDONESIA, PT","Jl. Tmn Anggrek Rt.01/1 Raya Orchid No.1, Jakarta Barat, DKI Jakarta",021 - 569429,Beton
242,"ADHIMIX PRECAST INDONESIA, PT","Jl. Incercange Kawasan Industri Kujang, Karawang, Jawa Barat",0264 - 311665,Beton Readymix
243,"ADHIMIX PRECAST INDONESIA, PT","Jl. Industri Batujajar, Bandung Barat, Jawa Barat",,Campuran Beton
244,"ADHIMIX PRECAST, PT","Jl. Raya Serang Km. 22,5, Tangerang, Banten",,Beton Siap Pakai
245,"ADHIMIX PRECEST INDONESIA, PT","Jl. Lingkar Timur, Cilacap, Jawa Tengah",,Beton Bangunan
246,ADHIMIX PRICAST PT,"Kp Cibitung, Bekasi, Jawa Barat",,Beton Cetak
247,ADHIMIX PT,"Blok Pejagan Asem, Cirebon, Jawa Barat",,Cor Beton
248,ADHIMIX RMC INDONESIA,"Jl. Raya Ciater, Tangerang Selatan, Banten",,Readymix
249,"ADHIMIX RMC, PT","Kawasan Industri Tambak Sumur Jl. Anwar Hamza No. 1, Jawa Timur, Jawa Timur",,Beton Ready Mix
250,"ADHIMIX, PT","Jl. Lingkar Luar Barat No. 14 Kembangan Utara, Jakarta Barat, DKI Jakarta",,Beton Cor
251,"ADHIMIX, PT","Jl. Kembangan Raya, Jakarta Barat, DKI Jakarta",,Cor Beton
252,"ADHIMIX, PT","Jl. Kembangan Raya, Jakarta Barat, DKI Jakarta",,Beton
253,"ADHINATA KARYA, PT","Jl. Pulo Buaran Iii Blok S 1-3, Jakarta Timur, DKI Jakarta",,Amplop Brosur Kop Surat
254,"ADHIREKSA INTICOR, PT","Jl. Bendungan Hilir Raya Blok G Ii/3, Jakarta Pusat, DKI Jakarta",021 - 573223,Perlengkapan Penerbangan
255,"ADHITYA ANDREBINA AGUNG, PT","Jl. Johar Baru Utara Iii/8, Jakarta Pusat, DKI Jakarta",420922,Percetakan
256,ADHIWA INNOVATION,"Dusun Sanggrahan Rt. 01/14, Magelang, Jawa Tengah",,Mix
257,"ADHYAKSA DHARMA SATYA, PT","Desa Mirah Kalanaman, Katingan, Kalimantan Tengah",,Cpo Dan Kernel
258,"ADI ASA, CV","Jl. Panglima Sudirman No. 58, Jombang, Jawa Timur",0321 - 875148,Bunga Dan Boneka Plastik
259,"ADI BATAMUNI JAYA, PT","Komp. Mega Cipta Blok B No. 1-4, B A T A M, Kepulauan Riau",,Plastik
260,"ADI BOGA CIPTA, PT","Dusun Padaan Rt. 01/07, Semarang, Jawa Tengah",,"Sosis, Bakso Sapi"
261,"ADI BRATA UNGGUL JAYA, PT","Jl. Patriot No.66, Medan, Sumatera Utara",,Mesin
262,"ADI CANDRA BARUNA INDAH, PT","Jl. Pattimura Punggur, B A T A M, Kepulauan Riau",,Kapal Dan Tongkang
263,"ADI CANDRA DWI UTAMA, PT","Jl Kiara Condong No.42, Bandung, Jawa Barat",022 - 727541,Hangtag/label Pakaian
264,"ADI CHANDRA JAYA, PT","Jl. Prabu Kian Santang No.89, Tangerang, Banten",021 - 553854,Engsel & Boss & Jasa Bubut
265,ADI CIPTA HASTA MULIA,"Kav Dpr Blok B No. 145, Tangerang, Banten",021 - 557442,Marmer Sintesis
266,ADI CIPTA KARYA MANDIRI,"Pasir Leutik, Bandung, Jawa Barat",022 - 714002,T-shirt  Atribut Uproad
267,"ADI CITA KARYA NUSA, PT","Jl. Sisingamangaraja No. 27, Yogyakarta, D.I. Yogyakarta",0274 - 379250,Buku Cerita
268,"ADI CITA PRAYOGA, CV","Pilangsari, Klaten, Jawa Tengah",272 - 3552337,"Garment (kaos,kemeja,baju Muslim)"
269,"ADI CITRA ANGGANA, PT","Kawasan Industri Jababeka Blok C/17-djl. Jababeka Iii-h, Tasikmalaya, Jawa Barat",,Pipa/selang
270,"ADI CITRA, PT","Jl. Raya Mastrip 70, Surabaya, Jawa Timur",,Bak Mobil
271,ADI FURNITURE,"Jl. Sumpah Pemuda Rt. 02/31 No. 139, Surakarta, Jawa Tengah",0271 - 853087,Mebel
272,"ADI GRAFIKA, CV","Jl. Padi Raya No. 5, Semarang, Jawa Tengah",024 - 658433,Jasa Percetakan
273,ADI GUNA EKA SENTRA. PT,"Jl. Industri Cimareme Rt 01/04, Bandung Barat, Jawa Barat",,Bahan Kimia
274,ADI GUNA JAYA MEUBEL,"Kp. Babakan Sonor, Bandung, Jawa Barat",,Lemari Kayu
275,"ADI GUNA MULTI GUNA, PT","Rt. 02 Rw. 01, Bondowoso, Jawa Timur",,Triplek Setengah Jadi
276,"ADI GUNA UTAMA, CV","Desa Watesumpak, Mojokerto, Jawa Timur",0321 - 490469,Lantai Kayu Sonokeling Ekspor
277,"ADI JAYA BETON, PT","Jl. Bypass Ngurah Rai Sbk, Denpasar, Bali",,Beton Readymix
278,"ADI JAYA GUNA SATWATAMA, PT","Jl. Raya Mundu Pesisir No.33, Cirebon, Jawa Barat",0231 - 510225,Udang Beku
279,"ADI JAYA [AJ], PB","Jl Karang Sinom Tipar Blok Blak Lak, Indramayu, Jawa Barat",813241,Beras Putih
280,ADI KARSA PT,"Sribitan, Bantul, D.I. Yogyakarta",,Guci Dan Hiasan Dinding Dari Kayu
281,ADI KARYA,"Blok Rebo, Majalengka, Jawa Barat",0233 - 881554,Genteng
282,"ADI KENCANA MAHKOTA BUANA, PT","Jl. Raya Solo-sragen Km. 13,5 Waru, Karanganyar, Jawa Tengah",0271 - 827272,Benang
283,"ADI KHARISMA, PT","Dukuh Randusari Jl. Boyolali Solo Km. 7, Boyolali, Jawa Tengah",,Karung Plastik
284,"ADI LUHUNG SARANA SEGARA IND, PT","Jl. Kabupaten Rt. 01 Rw. 01, Bangkalan, Jawa Timur",031 - 511627,Pembangunan Kapal Dan Reparasi Kapal
285,"ADI MACHINERY GEMA PERKASA, PT","Jl. Raya Berbek No. 10,18-20, Waru, Sidoarjo, Jawa Timur",,Jasa Slicer & Veneer
286,ADI MULYA AGRO LESTARI PT,"Jalan Kuantan 2 No 06 Kel Sekip Kec Lima Puluh, Pekanbaru, Riau",,Cpo
287,"ADI PENTA JAYA UTAMA, PT","Kp Cikuda No. 888, Bogor, Jawa Barat",,Tanki Fiber Glass
288,ADI PERKASA EKA BAKTI PT,"Kawasan Industri Jababeka, Bekasi, Jawa Barat",,Cylinder Marker
289,"ADI PERKASA EKA BAKTI, PT","Kawasan Industri Jababeka, Bekasi, Jawa Barat",,Cylinder Marker
290,"ADI PERKASA EKA BHAKTI INDUSTRI, PT","Jl. Raya Beji Km. 4, Pasuruan, Jawa Timur",0343 - 659431,Rotogrovure Cylinder
291,"ADI PERKASA, PT","Jl. Raya Cibening Km. 7, Purwakarta, Jawa Barat",,Service Dinamo Motor
292,ADI PERKASAGROUP,"Karanganom, Klaten, Jawa Tengah",,Buku
293,ADI PLAS SEJAHTERA PT,"Jl. Industri Selatan Viii Blok Bb Kaw Industri Jababeka Ii, Bekasi, Jawa Barat",,Plastik
294,"ADI PLAS SEJAHTERA, PT","Jl. Industri Selatan  Viii Blok Bb Kawasan Industri Jababeka, Bekasi, Jawa Barat",,Plastik
295,"ADI PRADANA, CV","Jl. Cikupa Mas No. 8b Km. 16,8, Tangerang, Banten",,Alas Kaki
296,"ADI PRIMA SURAPRINTA, PT","Jl. Raya Sumengko, Gresik, Jawa Timur",897358,Kertas Koran
297,"ADI PUTRO, PT","Jl. Sukamulya - Warungbambu, Jawa Barat, Jawa Barat",,Print Batik
298,"ADI SAMPURNA, PT (SADHANA ARIFNUSA, PT","Sembung , Dsn, Jombang, Jawa Timur",0321 - 866483,Tembakau Krosok Kering
299,ADI SAPUTRA UCP,"Jl. Kedung Cowek 177, Surabaya, Jawa Timur",031 - 371276,"Mur, Baut"
300,ADI SARI,"Jl. Raya Suci, Cirebon, Jawa Barat",0251 - 205942,Soun
301,"ADI SATRIA ABADI, PT","Kawasan Industri Banyakan, Bantul, D.I. Yogyakarta",0816 - 426038,Kulit Lembaran Dan Sarung Tangan Golf
302,"ADI SATRIA ABADI, PT","Sidokerto Rt. 03  Rw. 01, Purwomartani, Sleman, D.I. Yogyakarta",0274 - 497447,Sarung Tangan
303,ADI SETIAWAN CV,"Jl. Cilincing No. 29, Jakarta Utara, DKI Jakarta",,Office Container
304,"ADI SUKUR ,CV","Jl. Raya Cipanas Galunggung/kp. Ubrug, Tasikmalaya, Jawa Barat",0265 - 707194,Batu Split
305,ADI SUTOMO (PANDAI DOMAS),"Blok Kliwon, Cirebon, Jawa Barat",,Soun
306,"ADI TEKNIK MANDIRI, CV","Ruko Metland Tambun, Bekasi, Jawa Barat",,Barang Kardus
307,"ADI WIJAYA, PB","Dusun Rangdu Utara, Subang, Jawa Barat",813175,Beras Ketan Putih
308,"ADI WRAKSA ATYANTA, PT","Ngarak Arak Telukan, Sukoharjo, Jawa Tengah",,"Meja, Kursi, Almari"
309,"ADIB GLOBAL FOOD SUPPLIES, PT","Blupdb/ Dusun Sukajadi, Karawang, Jawa Barat",857826,Fillet Dory
310,"ADIDIE, IND TEMBAKAU TABUNG","Jl. Libukang, Soppeng, Sulawesi Selatan",,Tembakau Tabung
311,"ADIENT AUTOMOTIVE INDONESIA, PT","Kawasan Industri Bukit Indah City Blok H Ii No. 6-11, Purwakarta, Jawa Barat",,Jok Mobil
312,"ADIGUNA EKA SENTRA, PT","Jl. Industri Cimareme Rt. 01/04, Bandung Barat, Jawa Barat",,Bahan Kimia
313,"ADIGUNA LABEL INDONESIA, PT","Jl. Raya Osowilangun 61 Blok D-15, Surabaya, Jawa Timur",,Percetakan
314,"ADIGUNA, CV","Desa Tinelo, Gorontalo, Gorontalo",,Rangka Baja Ringan
315,"ADIJAYA, PT","Jl. Raya Klari No.45, Karawang, Jawa Barat",,Amplop
316,ADIKARI PT,"Jl. Pemuda No. 61 Kav 19, Jakarta Timur, DKI Jakarta",,Jasa Pemasangan
317,ADIKARYA,"Blok Rebo, Jawa Barat, Jawa Barat",,Genteng
318,"ADIKU, PT","Jababeka Tahap 2 Blok Kk No. 5 C, Bekasi, Jawa Barat",,Pencetakan Logam (metal Stamping)
319,ADIL MAKMUR,"Dusun Kliwon Rt. 11 Rw. 01, Majalengka, Jawa Barat",,Genteng
320,"ADIL MAKMUR BERSAMA, CV","Jl. Utama No.131, Medan, Sumatera Utara",,Barang Bordir
321,"ADIL MAKMUR FAJAR (AMCO), PT","Jl. Industri Raya No. 1 Km. 21, Tangerang, Banten",021 - 596347,Pemberantas Hama
322,"ADIL MAKMUR, CV","Desa Wonorejo, Lumajang, Jawa Timur",0334 - 881352,Beras
323,"ADIL MART, PT","Jl. Bhumimas Raya Desa Talaga, Tangerang, Banten",,Sosis Ayam
324,"ADIL MART, PT","Jl. Khatulistiwa, Pontianak, Kalimantan Barat",,Sosis
325,"ADIL, FA (NOGOSARI LEATHER)","Jl. Raya Yosowilangun Km. 11 Rt.10/04 Dsn. Dokmiri, Lumajang, Jawa Timur",0334 - 391838,Kulit Eksport
326,"ADILIMAN MAKMUR, PT","Desa Tlajung Udik, Bogor, Jawa Barat",022 - 867098,Tali Kipas
327,"ADIMAS PUSPITA SERASI, PT","Jl. Berlian Rt. 04 /05, Bogor, Jawa Barat",0251 - 600939,Furniture
328,"ADIMIX PRECAST INDONESIS, PT","Kp. Pengkolan, Bekasi, Jawa Barat",,Beton Sogar
329,"ADIMIX PRECAST, PT","Jl. Raya Ciater, Tangerang Selatan, Banten",,Beton
330,ADIMIX PT,"Kim 2, Medan, Sumatera Utara",,Beton
331,"ADIMIX, PT","Desa Citaringgul, Bogor, Jawa Barat",,Beton
332,"ADIMULIA AGROLESTARI, PT","Desa Gunung Mulya, Kampar, Riau",,Cpo (crude Palm Oil)
333,"ADIMULIA SARIMAS INDUSTRI, PT","Jl. Pelita Raya No. 9 Kim Star, Deli Serdang, Sumatera Utara",061 - 794591,Sabun Mandi
334,"ADINAGA SINDO JAYA, PT","Jl. Tuanku Tambusai No. 898, Pekanbaru, Riau",761 - 64733,Tengki Air
335,"ADINATA FANCY LESTRAI, PT","Kav.a 5-6 Kawasan Industri Lippo Cikarang Deltas, Bekasi, Jawa Barat",,Stationary
336,"ADINATA, UD","Jl. Dato Gappa No.16, Gowa, Sulawesi Selatan",883342,Kecap Dan Saus
337,"ADINDA FAMILI, UD","Terate Kidul Gang Nangka, Batang, Jawa Tengah",,Nuget
338,"ADINDO, PT","Jl. Raya Wonosobo Km. 3 Dusun Tanduran, Temanggung, Jawa Tengah",293 - 5914398,Barecore
339,"ADIPERKASA EKABAKTI, PT","Jl. Kp Kadu No. 9 Rt. 003 Rw. 01, Tangerang, Banten",,Tabung Besi
340,"ADIPURA MAS PLASTINDO, CV","Jl. Raya Solo-boyolali Km. 13, Boyolali, Jawa Tengah",,Kantong Plastik
341,"ADIPUTRA MANUNGGAL INTI KARET, CV","Jl. Ciguruwik Rt. 08 Rw. 16, Bandung, Jawa Barat",,Karet Kompor Dan Produk Barang Jadi
342,"ADIPUTRO WIRASEJATI, PT","Jl. Raya Balearjosari 35, Malang, Jawa Timur",0341 - 491139,Jasa Karoseri
343,"ADIRA SEMESTA INDUSTRI, PT","Komplek Jantrano No.8, Bandung, Jawa Barat",,Sarung Tangan Golf
344,"ADIRA SEMESTA INDUSTRY, PT","Jl. Kopo Bihbul Raya No.73, Sumedang, Jawa Barat",0261 - 540532,Sarung Tangan Kulit
345,"ADIRAKSA TAMA, CV","Jl. Sapta Marga Blok D, Banjar Baru, Kalimantan Selatan",,Rotan Kor
346,"ADIS DIMENSION FOOTWEAR, PT/MITRA CORP","Jl. Raya Serang Km. 24, Tangerang, Banten",021 -,Sepatu Olah Raga
347,"ADIS SILVER, CV","Jl. Apit Telaga, Denpasar, Bali",,Perhiasan Dari Perak
348,ADISARI,"Jl. Kalijaga No.107, Cirebon, Jawa Barat",0231 - 206159,Sohun
349,"ADITAMA SUKSES JAYA, PT","Jl. Intan I Rt.2/3, Bogor, Jawa Barat",021 - 615872,Pakaian Jadi
350,"ADITAMA/BERSAUDARA, UD","Raya Sugihwaras-bojonegoro, Jl, Bojonegoro, Jawa Timur",,Pavin Dan Kastin
351,"ADITEC CAKRAWIYASA, PT","Jl. Raya Serang Km. 15/ Jl. Oronom G-22/24, Tangerang, Banten",021 -,Kompor Gas
352,ADITEX,"Dukuh Ngendo, Klaten, Jawa Tengah",,Handuk
353,"ADITHIYA MANDIRI SEJAHTRA, PT","Kampung Patas, Bogor, Jawa Barat",,Pakaian Jadi
354,"ADITIA MANDIRI, UD","Desa Batursari, Pati, Jawa Tengah",813250,Garam Halus
355,"ADITIYA MANDIRI, PT","Kp Warung Pari Kaum, Bogor, Jawa Barat",,Pakaian Jadi
356,"ADITYA COLLECTION, CV","Jl. Kh Hasyim Ashari 83 Gg Masjid No. 83, Tangerang, Banten",021 - 554913,Pakaian Olah Raga
357,ADITYA DASA CIPTA MANUNGGAL,"Jl. Raya Banjaran Km. 12.5, Bandung, Jawa Barat",,Textile
358,ADITYA JAYA ,"Jl. Kenanga Dusun Bancang, Brebes, Jawa Tengah",819027,Gesek
359,"ADITYA MANUFAKTUR INDONESIA,, PT","Jl. Pergudangan Semanan Megah Kavling 7g, Jakarta Barat, DKI Jakarta",,"Dispenser,kipas Angin Dan Presure Cooker"
360,"ADITYA MEDIA, CV","Jl. Bima Sakti No. 19, Yogyakarta, D.I. Yogyakarta",0274 - 520612,Barang Cetakan Dari Kertas
361,"ADITYA TIRTA ABADI UTAMA, PT","Jl. Raya Kuningan Cirebon Km. 32 No. 144, Kuningan, Jawa Barat",,Air Minum Dalam Kemasan
362,"ADIWARNA PELANGI, PT","Jl. .raya Solo Sragen Km. 93, Jawa Tengah, Jawa Tengah",,Percetakan
363,"ADIWISESA MANDIRI BUILDING PRODUCTS INDONESIA, PT","Desa Tlajung Udik, Bogor, Jawa Barat",21 - 8670501,Perekat Keramik
364,"ADIWRAKSA ATYANTA, PT","Dukuh Ngarak Arak Rt. 10/02, Sukoharjo, Jawa Tengah",0271 - 620008,Furniture
365,"ADIYAKSA, PT","Jl. Taman Sentosa Blok M 10 7, Bekasi, Jawa Barat",,Baja
366,"ADIYASA WORKSHOP, CV","Jl. Raya Tapos No. 38b Kranji Rt. 01 Rw. 10, Bogor, Jawa Barat",021 - 876051,Furniture
367,"ADIYASA, CV","Kampung  Patahunan Rt.1/11, Bogor, Jawa Barat",0251 - 732387,Nampan
368,"ADJI BUSANA TEXTILE, PT","Desa Gunung Gangsir, Pasuruan, Jawa Timur",,Sarung
369,"ADLER, CV","Jl. Kp.bitung No.183, Tangerang, Banten",021 - 598617,Furniture
370,"ADM COCOA, PT","Jl. Kima 8 Kav Bb-1, Makassar, Sulawesi Selatan",0411 - 472304,Biji Coklat Kering
371,ADM TEX,"Pekajangan Gg.22, Pekalongan, Jawa Tengah",,Weaving
372,"ADMIRALINDO BINTANG TERANG,CV","Jl. Industri Iv No. .11, Cimahi, Jawa Barat",022 - 603564,Kain Jok
373,ADRIATIKA PT,"Jl. Mandala No.53, Bandung, Jawa Barat",,Baju/pakaian Jadi
374,ADRITEX CV,"Jl. Sukamanah Blk No.323 Rt.02/04, Bandung, Jawa Barat",022 - 595130,Kain Sarung
375,"ADVAN METAL  ENGENERING, PT","Jl. Industri Selatan, Bekasi, Jawa Barat",,Stenless Steel Aluminium
376,ADVAN METAL ENGINEERING PT,"Jl. Industri Selatan V Block Ee No. 3g Kaw Jababeka Ii, Bekasi, Jawa Barat",,Stainless Steel Aluminium
377,"ADVANCE STABILINDO INDUSTRY, PT","Jl. Sulawesi Iii Blok M29 Kawasan Industri Mm 2100, Bekasi, Jawa Barat",021 - 898093,Bahan Kimia
378,"ADVANCED PACKAGING SOLUTION, PT","Blok A No. 8 Komplek Sarana Industrial Point, Batam, Kepulauan Riau",0778 - 471091,Tray Plastik
379,ADVERTISING 7 RUANG,"Jl. Sutoyo S Gg 21 Al Aman, Banjarmasin, Kalimantan Selatan",,"Reklame, Baliho"
380,ADVERTISING MAS PUTIH,"Jl. Suka Menanti, Medan, Sumatera Utara",,Hasil Cetakan
381,ADVERTISING PITA BIRU ,"Kradenan, Bantul, D.I. Yogyakarta",,Sohun
382,ADVIK INDONESIA PT ,"Jl. Sungkai Blok F 26 No. 19m Delta Silicon 3 Lippo Cikarang, Bekasi, Jawa Barat",,Oil Pump
383,"ADVIK INDONESIA, PT","Jl. Industri Selatan V  Blok Ee No. 6 G Kawasan Jababeka, Bekasi, Jawa Barat",,Oil Pump
384,"ADY RAHMAT KAMIL, PT","Jl. Alalak Utara No. 23, Hulu Sungai Utara, Kalimantan Selatan",511 - 3302903,Tongkang
385,"ADYA BOGA PRANATA INDUSTRIES, PT","Jl. Pasar Kemis No.6 Kp Cilongok Rt. 01/04, Tangerang, Banten",021 - 590390,Mixing Process
386,"ADYA BUANA PERSADA, PT","Jl. Raya Wringinanom Km. 32, Gresik, Jawa Timur",031 - 897108,Keramik Lantai
387,ADYA IWNSA SEKISUI TECHNOLOGI MOLOIND,"Jl. Akasia 2 Blok A9 Kawasan Delta Silicon 1, Bekasi, Jawa Barat",,Plastik Injection Molding
388,"ADYA WINSA SEKISUITECHNOLOGY MOLOIN, P","Jl. Akasia 2  Blok A 9  Kawasan Belta Silicon 1, Bekasi, Jawa Barat",,Plastik Injection
389,"ADYATAMA RATANGGA KARTIJASA, PT","Jl. Arya Kemuning, Tangerang, Banten",021 - 552693,"Filing Cabinet, Clipboard"
390,"ADYAWINSA DINAMIKA, PT","Jl. Jababeka Iv Blok V No. 81b 170 Kawasan Industri Jababek, Bekasi, Jawa Barat",021 - 893600,Mesin/komponen Otomotif
391,ADYAWINSA ELECTRICAL AND POWER PT,"Jl. Industri Selatan Blok Ll4 Jababeka Ii, Bekasi, Jawa Barat",,Solar Panel Dan Solar Home Sistem
392,"ADYAWINSA PLASTICS IND, PT","Jl. Raya Pepuri, Karawang, Jawa Barat",021 - 891150,Plastic Injection
393,ADYAWINSA PT,"Jl. Jababeka Ivd Blok V81a, Bekasi, Jawa Barat",,Platic Injeksi Untuk Komponen Otomotif
394,"ADYAWINSA STAMPING INDUSTRIES, PT","Jl. Suroto Kunto No. 109, Karawang, Jawa Barat",0267 - 404555,Komponen Kendaraan Bermotor
395,"AEK TARUM, PT","Desa Sumber Baru, Ogan Komering Ilir, Sumatera Selatan",,Cpo (crude Palm Oil)
396,AEP,"Kampung Cisereh, Bandung, Jawa Barat",,Kerudung
397,"AERO FOOD INDONESIA, PT","Jl. Raya Juanda Km. 4 Desa Wedi, Sidoarjo, Jawa Timur",,Makanan Dan Minuman Kemasan
398,"AERO PROJAYA, PT","Jl. Kapuk Blok F Kawasan Industri Delta Silicon, Bekasi, Jawa Barat",,Filter Udara
399,"AEROTAMA BLOCK, PT","Komp. Pertokoan Seruni Blok A No.16 Sei Panas, B A T A M, Kepulauan Riau",,Bata Ringan
400,"AFA TEX, PT","Kp. Sukamanah, Bandung, Jawa Barat",,Alat Kesehatan
401,AFANDY GALLERY,"Dukuh Ngipik Rt. 05/ Rw. 01, Jepara, Jawa Tengah",,Kaligrafi
402,"AFANTEX, CV","Jl. Solo-sragen Km. 9,6, Karanganyar, Jawa Tengah",0271 - 821900,Karung Grey Dan Sarung
403,AFATEX PT,"Kp Sukamanah, Bandung, Jawa Barat",,Kain Grey
404,"AFDHOL, UD","Amassangang Timur, Pinrang, Sulawesi Selatan",,Beras
405,"AFDOL INTERNATIONAL, PT","Jl. Iskandar Muda Rt. 004/01, Tangerang, Banten",,Plastik
406,AFECH MULTINDO PERKASA PT,"Jl. Insutry Selatan V Block Ee No. 5 Kaw Jababeka Ii, Bekasi, Jawa Barat",,Die Sets Jigs Fixtures
407,"AFECH MULTINDO PERKASA, PT","Jl. Insutry Selatan V Block Ee No.5 Kaw Jababeka Ii, Bekasi, Jawa Barat",021 - 893708,Die Sets Jigs Fixture
408,AFFA COLECTION,"Kp. Bojong, Bandung, Jawa Barat",,Pakaian Jadi
409,"AFI FARMA, PT","Jl. Mauni No. 39, Kediri, Jawa Timur",0354 - 683675,Farmasi
410,"AFIAT, PT","Jl. Mahar Martanegarano. 138, Cimahi, Jawa Barat",,Obat Farmasi
411,"AFIDOGIO, PT","Jl. Tanjoayu No. 47, Sukabumi, Jawa Barat",0266 - 731244,Tambang Plastik
412,AFIF MODE COLLECTION,"Harjosari Lor, Tegal, Jawa Tengah",,Celana Panjang
413,AFIF PURNAMA COLLECTION,"Krajan Rt. 01 Rw. 01, Kudus, Jawa Tengah",,Pakaian
414,"AFIXKOGYO INDONESIA, PT","Kp Tenjoayu, Sukabumi, Jawa Barat",,Streping Sepeda Motor
415,"AFIXKOGYO, PT","Jl. Tenjo Aju 47, Sukabumi, Jawa Barat",0266 - 731255,Striping Sepeda Motor
416,"AFRESH INDONESIA, PT","Jl. Kasang Pudak Lr. Wigo No. 8 Kasang, Kota Karang, Muaro Jambi, Jambi",0741 - 707881,Air Minum Dalam Kemasan
417,"AFRO PACIFIC INDAH STEEL, PT","Jl. Kaliabang Tengah, Bekasi, Jawa Barat",,Pemotongan Plat Baja Lembaran
418,"AFTECH, PT","Jl. Kima 8 Kav Ss-23b, Sulawesi Selatan, Sulawesi Selatan",,Cup Plastik
419,"AFTON MEUBEL, UD","Jl. Raya Wongsorejo No.32, Banyuwangi, Jawa Timur",0333 - 461906,Furniture Dari Kayu
420,"AGA, AMDK(INTAN MULIA,CV))","Gunungsari , Ds Sumbergondo , Ds, Banyuwangi, Jawa Timur",822420,Amdk
421,AGAM SAKTI,"Jl. Bentengan Mas Iii Rt.10/6 No.3, Jakarta Utara, DKI Jakarta",81310083799,Jasa Pakaian
422,"AGAM STAR, PT","Jl. Veteran Kp. Cisereh Haur No.6, Tangerang, Banten",021 - 598823,Plastic Injection
423,AGAPE CV,"Jalan Gajah Mada Kompleks Tpi, Tarakan, Kalimantan Utara",,Ikan Bandeng Beku
424,"AGAPE INDAH JAYA, PT","Jl. Sentul Raya, Bogor, Jawa Barat",,Boneka
425,"AGAPE, CV","Jl. Cibuntu Selatan, Jawa Barat, Jawa Barat",,Pakaian Dewasa (makloon)
426,AGAR AGAR  (LIVA COOL),"Kampung Kedung Halang Tengah, Bogor, Jawa Barat",,Agar-agar
427,AGAR SEHAT MAKMUR LESTARI,"Raya Bakalan Rt. 9/3, Pasuruan, Jawa Timur",0343 - 612408,Agar-agar
428,"AGAR SWALOW, PT","Desa Karang Asem Timur, Bogor, Jawa Barat",,Agar Agar Swallow
429,AGAR-AGAR SRIGUNTING,"Jl. Induistri Gang Coca Cola No. 1, Malang, Jawa Timur",0341 - 454250,Tepung Agar-agar
430,"AGARICUS SIDO MAKMUR SENTOSA, CV","Jl. Inspektur Polisi Soewoto No. 5-8 Bedali, Malang, Jawa Timur",0341 - 422647,Jamur Agaricus Blazei Murill
431,"AGARINDO BOGATAMA, PT","Desa Sukamantri Jl. Agarindo Km. 6, Tangerang, Banten",021 - 590351,Agar-agar
432,"AGARSARI JAYA, CV","Jl. Puntir Dsn Klojen, Pasuruan, Jawa Timur",0343 - 614086,Tepung Agar-agar
