no,rank,character,animeography,mangaography,favorites
502,502,"Ibuki, Fuuko","['Clannad', 'Kaginado', 'Clannad: After Story']","['Clannad', 'Clannad 4-koma Manga Gekijyou', 'Clannad: Hikaru Mimamoru Sakamichi de']",3539
503,503,Clare,['Claymore'],['Claymore'],3529
504,504,"Kurumizawa McDowell, Satanichia","['Gabriel DropOut', 'Gabriel DropOut Specials']",['Gabriel DropOut'],3517
505,505,Nezumi,['No.6'],"['No.6', 'No.6', 'No.6 Beyond']",3517
506,506,Tatsumaki,"['One Punch Man', 'One Punch Man Specials', 'One Punch Man 2nd Season']",['One Punch-Man'],3515
507,507,"Armstrong, Olivier Mira","['Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood - 4-Koma Theater']",['Fullmetal Alchemist'],3504
508,508,Deidara,"['Naruto', 'Naruto: Shippuuden', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden']","['Naruto', 'Rock Lee no Seishun Full-Power Ninden']",3498
509,509,"River, Nate","['Death Note', 'Death Note: Rewrite']","['Death Note: Tokubetsu-hen', 'Death Note', 'L Change the WorLd']",3487
510,510,"Fujinuma, Satoru","['Boku dake ga Inai Machi', 'Boku dake ga Inai Machi Recaps']",['Boku dake ga Inai Machi'],3485
511,511,"Kanda, Yuu","['D.Gray-man', 'D.Gray-man Hallow']","['D.Gray-man', 'D.Gray-man: Reverse']",3468
512,512,"Edward, Newgate","['One Piece', 'One Piece Film: Strong World Episode 0', 'One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai']","['One Piece', 'One Piece: Strong World']",3442
513,513,"Kotoishi, Naru","['Barakamon', 'Mijikamon']",['Barakamon'],3438
514,514,"Ononoki, Yotsugi","['Tsukimonogatari', 'Nisemonogatari', 'Monogatari Series: Second Season']","['Monogatari Series: Final Season', 'Monogatari Series: Off Season', 'Monogatari Series: Monster Season']",3436
515,515,"Zuberg, Alice","['Sword Art Online: Alicization', 'Sword Art Online: Alicization - War of Underworld', 'Sword Art Online: Alicization - War of Underworld Reflection']","['Sword Art Online', 'Sword Art Online: Project Alicization']",3433
516,516,"Ayase, Chihaya","['Chihayafuru', 'Chihayafuru 2', 'Chihayafuru 3']","['Chihayafuru', 'Chihayafuru: Chuugakusei-hen', 'Chihayafuru: Chuugakusei-hen']",3419
517,517,Kuroyukihime,"['Accel World', 'Accel World: Acchel World.', 'Accel World EX']","['Accel World', 'Accel World', 'Acchel World.']",3373
518,518,Dandy,"['Space☆Dandy', 'Viva Namida', 'Space☆Dandy 2nd Season']","['Space☆Dandy', 'Ore Space☆Dandy']",3372
519,519,"Kumagawa, Misogi",['Medaka Box Abnormal'],"['Medaka Box', 'Medaka Box Gaiden: Good Loser Kumagawa', 'Medaka Box: Juvenile - Shousetsu-ban']",3365
520,520,"Niizuma, Eiji","['Bakuman.', 'Bakuman. 2nd Season', 'Bakuman. 3rd Season']","['Bakuman.', 'Bakuman. Bangai-hen', 'Bakuman.']",3364
521,521,"Enma, Ai","['Jigoku Shoujo', 'Jigoku Shoujo Futakomori', 'Jigoku Shoujo Mitsuganae']","['Jigoku Shoujo', 'Shin Jigoku Shoujo', 'Jigoku Shoujo R']",3363
522,522,"Yamauchi, Sakura",['Kimi no Suizou wo Tabetai'],['Kimi no Suizou wo Tabetai'],3355
523,523,"Suou, Mikoto","['K', 'K: Seven Stories Movie 1 - R:B - Blaze', 'K: Seven Stories Movie 5 - Memory of Red - Burn']","['K: Memory of Red', 'K Side:Red', 'K: The First']",3348
524,524,Vanitas,"['Vanitas no Karte', 'Vanitas no Karte Part 2']",['Vanitas no Karte'],3335
525,525,"Sakurasawa, Sumi","['Kanojo, Okarishimasu', 'Kanojo, Okarishimasu Petit', 'Kanojo, Okarishimasu 2nd Season']","['Kanojo, Hitomishirimasu', 'Kanojo, Okarishimasu']",3319
526,526,Neferpitou,['Hunter x Hunter (2011)'],['Hunter x Hunter'],3318
527,527,"Lockser, Juvia","['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko']","['Fairy Girls', 'Fairy Tail', 'Tale of Fairy Tail: Ice Trail']",3306
528,528,Shirayuki,"['Akagami no Shirayuki-hime', 'Akagami no Shirayuki-hime 2nd Season', 'Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page']",['Akagami no Shirayuki-hime'],3290
529,529,"Mista, Guido","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps']","['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori']",3284
530,530,"Oshino, Meme","['Bakemonogatari', 'Bakemonogatari Recap', 'Kizumonogatari I: Tekketsu-hen']","['Monogatari Series: First Season', 'Monogatari Series: Final Season', 'Monogatari Series: Off Season']",3283
531,531,Piccolo,"['Dragon Ball Z', 'Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!', 'Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu']","['Dragon Ball', 'Cross Epoch', 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!']",3282
