no,rank,title,type,total_eps,show_time,member,score,link_page
13367,"
13367
",Senjuushi: Gendaijuu no Heya,Special,17,Sep 2018 - Feb 2019,819,N/A,https://myanimelist.net/anime/38206/Senjuushi__Gendaijuu_no_Heya
13368,"
13368
",Senkou Progress,Music,1,May 2019 - May 2019,157,N/A,https://myanimelist.net/anime/40415/Senkou_Progress
13369,"
13369
",Senlin Li De Jin Yueliang,Movie,1,1989 - 1989,17,N/A,https://myanimelist.net/anime/43660/Senlin_Li_De_Jin_Yueliang
13370,"
13370
",Senlin Zhi Wang,Movie,1,1959 - 1959,22,N/A,https://myanimelist.net/anime/43260/Senlin_Zhi_Wang
13371,"
13371
","Senlin, Xiaoniao He Wo",Movie,1,Jun 1990 - Jun 1990,21,N/A,https://myanimelist.net/anime/43663/Senlin_Xiaoniao_He_Wo
13372,"
13372
",Sennen no Yakusoku,OVA,1,2005 - 2005,182,N/A,https://myanimelist.net/anime/20797/Sennen_no_Yakusoku
13373,"
13373
",Senro wa Tsudzuku yo Dokomademo,Music,1,Oct 2017 - Oct 2017,181,N/A,https://myanimelist.net/anime/36668/Senro_wa_Tsudzuku_yo_Dokomademo
13374,"
13374
",Sensou ga Owatta Natsu ni 1945 Karafuto,Movie,1,Dec 1990 - Dec 1990,215,N/A,https://myanimelist.net/anime/25035/Sensou_ga_Owatta_Natsu_ni_1945_Karafuto
13375,"
13375
",Sensou: Kodomo-tachi no Yuigon,Movie,1,1984 - 1984,104,N/A,https://myanimelist.net/anime/33894/Sensou__Kodomo-tachi_no_Yuigon
13376,"
13376
",Sensuikan ni Koi wo Shita Kujira no Hanashi,Movie,1,Nov 1989 - Nov 1989,212,N/A,https://myanimelist.net/anime/25329/Sensuikan_ni_Koi_wo_Shita_Kujira_no_Hanashi
13377,"
13377
",Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season,TV,24,Jan 2017 - Jun 2017,506,N/A,https://myanimelist.net/anime/34456/Sentai_Hero_Sukiyaki_Force__Gunma_no_Heiwa_wo_Negau_Season
13378,"
13378
","Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season e, Mata?",TV,24,Jan 2018 - Jun 2018,271,N/A,https://myanimelist.net/anime/37054/Sentai_Hero_Sukiyaki_Force__Gunma_no_Heiwa_wo_Negau_Season_e_Mata
13379,"
13379
",Sentaku Jab Jab,Music,1,Jun 1974 - Jun 1974,167,N/A,https://myanimelist.net/anime/36806/Sentaku_Jab_Jab
13380,"
13380
",September,Music,1,Nov 2014 - Nov 2014,156,N/A,https://myanimelist.net/anime/39947/September
13381,"
13381
",Setsugetsuka,Music,1,Nov 2018 - Nov 2018,178,N/A,https://myanimelist.net/anime/39644/Setsugetsuka
13382,"
13382
",Setsuzoku Muyou,TV,26,Dec 2014 - 2015,178,N/A,https://myanimelist.net/anime/28887/Setsuzoku_Muyou
13383,"
13383
",Seven Nation Army feat. Chara,Music,1,2008 - 2008,153,N/A,https://myanimelist.net/anime/40288/Seven_Nation_Army_feat_Chara
13384,"
13384
",Seventina,Music,1,Oct 2018 - Oct 2018,72,N/A,https://myanimelist.net/anime/50115/Seventina
13385,"
13385
",Sex: Prologue,OVA,1,May 2018 - May 2018,"1,601",N/A,https://myanimelist.net/anime/37013/Sex__Prologue
13386,"
13386
",Shabake,ONA,1,Jul 2021 - Jul 2021,301,N/A,https://myanimelist.net/anime/49284/Shabake
