no,nama file,tahun,tautan
54,Daftar Arsip Foto Kementerian Penerangan Wilayah Jakarta 1953,1953,https://anri.go.id//download/daftar-arsip-foto-kementerian-penerangan-wilayah-jakarta-1953-1586220809
55,Daftar Arsip Foto Kementerian Penerangan Wilayah Jakarta 1952,1952,https://anri.go.id//download/daftar-arsip-foto-kementerian-penerangan-wilayah-jakarta-1952-1586220764
56,Daftar Arsip Film PPFN Seri Gelora Indonesia 1951-1976,1951,https://anri.go.id//download/daftar-arsip-film-ppfn-seri-gelora-indonesia-19511976-1586220215
57,Daftar Arsip Foto KEMPEN Kalimantan Timur (1950-1963),1950,https://anri.go.id//download/daftar-arsip-foto-kempen-kalimantan-timur-19501963-1633327735
58,Daftar Arsip Foto KEMPEN Kalimantan Barat (1950-1951),1950,https://anri.go.id//download/daftar-arsip-foto-kempen-kalimantan-barat-19501951-1633327713
59,Daftar Arsip Foto KEMPEN DI Yogyakarta (1950-1965),1950,https://anri.go.id//download/daftar-arsip-foto-kempen-di-yogyakarta-19501965-1633327688
60,Daftar Arsip Alih Media Foto Sukarno 1950-1964,1950,https://anri.go.id//download/daftar-arsip-alih-media-foto-sukarno-19501964-1594002127
61,Daftar Arsip Foto Kementerian Penerangan Wilayah Sumatera Selatan 1950-1967,1950,https://anri.go.id//download/daftar-arsip-foto-kementerian-penerangan-wilayah-sumatera-selatan-19501967-1586220854
62,Daftar Arsip Foto Kementerian Penerangan Wilayah Jakarta 1950,1950,https://anri.go.id//download/daftar-arsip-foto-kementerian-penerangan-wilayah-jakarta-1950-1586220582
63,Daftar Arsip Foto Kementerian Penerangan DIY 1950-1965,1950,https://anri.go.id//download/daftar-arsip-foto-kementerian-penerangan-diy-19501965-1586220513
64,Daftar Arsip Film PPFN Seri Film Cerita 1950-1986,1950,https://anri.go.id//download/daftar-arsip-film-ppfn-seri-film-cerita-19501986-1586220147
65,Daftar Arsip Video Sekretariat Negara RI 1950-1981,1950,https://anri.go.id//download/daftar-arsip-video-sekretariat-negara-ri-19501981-1586220101
66,Daftar Arsip Tekstual PT. Industri Pesawat Terbang Nasional - IPTN 1950-1988,1950,https://anri.go.id//download/daftar-arsip-tekstual-pt.-industri-pesawat-terbang-nasional-iptn-19501988-1586219547
67,Daftar Arsip Foto Film PPFN Seri Film Cerita 1948-1963,1948,https://anri.go.id//download/daftar-arsip-foto-film-ppfn-seri-film-cerita-19481963-1586220405
68,Daftar Arsip Foto RVD Kalimantan Barat (1947-1949),1947,https://anri.go.id//download/daftar-arsip-foto-rvd-kalimantan-barat-19471949-1633328011
